state,county,current_votes,total_votes,percent
Georgia,Appling County,8159,8341,98
Georgia,Atkinson County,2995,3155,95
Georgia,Bacon County,4512,4668,100
Georgia,Baker County,1514,1555,100
Georgia,Baldwin County,17942,18251,100
Georgia,Banks County,8679,8801,99
Georgia,Barrow County,37226,38017,100
Georgia,Bartow County,49618,50375,98
Georgia,Ben Hill County,6444,6560,100
Georgia,Berrien County,7565,7743,100
Georgia,Bibb County,69938,70623,99
Georgia,Bleckley County,5613,5704,98
Georgia,Brantley County,7388,7731,96
Georgia,Brooks County,6835,7100,100
Georgia,Bryan County,20884,21338,98
Georgia,Bulloch County,29558,30084,100
Georgia,Burke County,10465,10684,100
Georgia,Butts County,11617,11786,99
Georgia,Calhoun County,2156,2194,98
Georgia,Camden County,22917,23688,97
Georgia,Candler County,4323,4432,100
Georgia,Carroll County,53687,54474,99
Georgia,Catoosa County,31736,32692,97
Georgia,Charlton County,4323,4566,100
Georgia,Chatham County,131588,133289,99
Georgia,Chattahoochee County,1534,1590,96
Georgia,Chattooga County,9703,10050,97
Georgia,Cherokee County,142240,144830,100
Georgia,Clarke County,50597,51098,99
Georgia,Clay County,1409,1434,100
Georgia,Clayton County,111262,112344,99
Georgia,Clinch County,2700,2864,94
Georgia,Cobb County,388953,393735,99
Georgia,Coffee County,14722,15214,97
Georgia,Colquitt County,15782,16083,98
Georgia,Columbia County,79405,80579,100
Georgia,Cook County,6914,7035,100
Georgia,Coweta County,75642,76799,100
Georgia,Crawford County,5998,6102,98
Georgia,Crisp County,7885,8052,100
Georgia,Dade County,7157,7434,96
Georgia,Dawson County,15853,16081,99
Georgia,Decatur County,11319,11627,100
Georgia,DeKalb County,367028,370665,99
Georgia,Dodge County,7885,8064,98
Georgia,Dooly County,4005,4105,98
Georgia,Dougherty County,34874,35308,99
Georgia,Douglas County,68154,68806,99
Georgia,Early County,4966,5184,96
Georgia,Echols County,1381,1441,96
Georgia,Effingham County,30974,31624,98
Georgia,Elbert County,8981,9171,100
Georgia,Emanuel County,9191,9501,97
Georgia,Evans County,4147,4247,100
Georgia,Fannin County,14571,14850,100
Georgia,Fayette County,68124,69110,99
Georgia,Floyd County,37824,38514,98
Georgia,Forsyth County,127000,129305,100
Georgia,Franklin County,10590,10786,100
Georgia,Fulton County,515024,522050,99
Georgia,Gilmer County,16201,16525,98
Georgia,Glascock County,1500,1566,100
Georgia,Glynn County,40767,41984,100
Georgia,Gordon County,23470,24033,98
