state,county,candidate,party,votes
Georgia,Appling County,Doug Collins,REP,2355
Georgia,Appling County,Kandiss Taylor,REP,2030
Georgia,Appling County,Kelly Loeffler,REP,1807
Georgia,Appling County,Raphael Warnock,DEM,1051
Georgia,Appling County,Deborah Jackson,DEM,306
Georgia,Appling County,Derrick Grayson,REP,89
Georgia,Appling County,Jamesia James,DEM,88
Georgia,Appling County,Matt Lieberman,DEM,85
Georgia,Appling County,Wayne Johnson,REP,64
Georgia,Appling County,Tamara Johnson-Shealey,DEM,54
Georgia,Appling County,Annette Jackson,REP,51
Georgia,Appling County,Joy Slade,DEM,41
Georgia,Appling County,Richard Winfield,DEM,25
Georgia,Appling County,Brian Slowinski,LIB,23
Georgia,Appling County,Allen Buckley,IND,21
Georgia,Appling County,Al Bartell,IND,19
Georgia,Appling County,John Fortuin,GRN,17
Georgia,Appling County,Michael Greene,IND,15
Georgia,Appling County,Ed Tarver,DEM,11
Georgia,Appling County,Valencia Stovall,IND,7
Georgia,Atkinson County,Doug Collins,REP,1038
Georgia,Atkinson County,Kelly Loeffler,REP,946
Georgia,Atkinson County,Raphael Warnock,DEM,406
Georgia,Atkinson County,Deborah Jackson,DEM,149
Georgia,Atkinson County,Kandiss Taylor,REP,63
Georgia,Atkinson County,Matt Lieberman,DEM,56
Georgia,Atkinson County,Derrick Grayson,REP,55
Georgia,Atkinson County,Tamara Johnson-Shealey,DEM,53
Georgia,Atkinson County,Jamesia James,DEM,42
Georgia,Atkinson County,Annette Jackson,REP,38
Georgia,Atkinson County,Wayne Johnson,REP,36
Georgia,Atkinson County,Richard Winfield,DEM,23
Georgia,Atkinson County,Allen Buckley,IND,22
Georgia,Atkinson County,Joy Slade,DEM,15
Georgia,Atkinson County,Al Bartell,IND,15
Georgia,Atkinson County,Brian Slowinski,LIB,10
Georgia,Atkinson County,Michael Greene,IND,9
Georgia,Atkinson County,Ed Tarver,DEM,8
Georgia,Atkinson County,Valencia Stovall,IND,6
Georgia,Atkinson County,John Fortuin,GRN,5
Georgia,Atkinson County, Write-ins,WRI,0
Georgia,Bacon County,Doug Collins,REP,1646
Georgia,Bacon County,Kelly Loeffler,REP,1547
Georgia,Bacon County,Kandiss Taylor,REP,462
Georgia,Bacon County,Raphael Warnock,DEM,315
Georgia,Bacon County,Deborah Jackson,DEM,105
Georgia,Bacon County,Derrick Grayson,REP,93
Georgia,Bacon County,Wayne Johnson,REP,86
Georgia,Bacon County,Matt Lieberman,DEM,49
Georgia,Bacon County,Annette Jackson,REP,46
Georgia,Bacon County,Jamesia James,DEM,39
Georgia,Bacon County,Tamara Johnson-Shealey,DEM,35
Georgia,Bacon County,Richard Winfield,DEM,15
Georgia,Bacon County,Allen Buckley,IND,13
Georgia,Bacon County,Joy Slade,DEM,12
Georgia,Bacon County,Brian Slowinski,LIB,12
Georgia,Bacon County,John Fortuin,GRN,10
Georgia,Bacon County,Michael Greene,IND,9
Georgia,Bacon County,Al Bartell,IND,8
Georgia,Bacon County,Ed Tarver,DEM,7
Georgia,Bacon County,Valencia Stovall,IND,3
Georgia,Baker County,Raphael Warnock,DEM,457
Georgia,Baker County,Kelly Loeffler,REP,413
Georgia,Baker County,Doug Collins,REP,388
Georgia,Baker County,Deborah Jackson,DEM,89
Georgia,Baker County,Tamara Johnson-Shealey,DEM,33
Georgia,Baker County,Jamesia James,DEM,21
Georgia,Baker County,Matt Lieberman,DEM,19
Georgia,Baker County,Wayne Johnson,REP,17
Georgia,Baker County,Derrick Grayson,REP,14
Georgia,Baker County,Richard Winfield,DEM,13
Georgia,Baker County,Annette Jackson,REP,10
Georgia,Baker County,Joy Slade,DEM,9
Georgia,Baker County,Kandiss Taylor,REP,8
Georgia,Baker County,Al Bartell,IND,7
Georgia,Baker County,Ed Tarver,DEM,4
Georgia,Baker County,Allen Buckley,IND,4
Georgia,Baker County,Brian Slowinski,LIB,4
Georgia,Baker County,John Fortuin,GRN,3
Georgia,Baker County,Michael Greene,IND,1
Georgia,Baker County,Valencia Stovall,IND,0
