state,votes,electoral_vote
Delaware,502392,0.0
District of Columbia,290171,0.0
Florida,11075446,0.0
Georgia,4988635,0.0
Hawaii,573854,0.0
Idaho,867971,0.0
Illinois,5501179,0.0
Indiana,3032025,0.0
Iowa,1686921,0.0
Kansas,1334330,0.0
Kentucky,2135193,0.0
Louisiana,2147817,0.0
Maine,784112,0.0
Maryland,2497959,0.0
Massachusetts,3458362,0.0
Michigan,5531222,0.0
Minnesota,3271760,0.0
Mississippi,1163492,0.0
Missouri,3010316,0.0
Montana,602777,0.0
Nebraska,942480,0.0
Nevada,1334721,0.0
New Hampshire,806368,0.0
New Jersey,3846861,0.0
New Mexico,919640,0.0
New York,6646867,0.0
North Carolina,5465691,0.0
North Dakota,361656,0.0
Ohio,5764587,0.0
Oklahoma,1560699,0.0
Oregon,2334762,0.0
Pennsylvania,6772846,0.0
Rhode Island,513323,0.0
South Carolina,2513809,0.0
South Dakota,422678,0.0
Tennessee,3049514,0.0
Texas,11254825,0.0
Utah,1313768,0.0
Vermont,350178,0.0
Virginia,4439474,0.0
Washington,3958943,0.0
West Virginia,787660,0.0
Wisconsin,3297473,0.0
Wyoming,276528,0.0
Alabama,2309900,0.0
Arkansas,1209326,0.0
California,14973644,0.0
Colorado,3173274,0.0
Connecticut,1821823,0.0
United States,150405262,
Alaska,190970,61.0
Arizona,3335040,0.0
